Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1766090805,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766090806,10,,Aggregated,0.000000,0.000000,340,350,350,350,540,540,540,540,540,540,540,7,0,340.0,339.7301387146529,232.4621780007874,537.6287750004849,83667.14285714286
1766090807,20,,Aggregated,0.000000,0.000000,310,340,350,350,1600,1600,1600,1600,1600,1600,1600,16,0,310.0,455.8068057501714,213.31327500047337,1564.3882919994212,82220.0
1766090808,30,,Aggregated,7.000000,0.000000,300,330,350,540,1600,1600,2600,2600,2600,2600,2600,31,0,300.0,560.8722929678298,213.31327500047337,2606.2996729997394,82073.6129032258
1766090809,40,,Aggregated,8.000000,0.000000,370,570,920,1600,1900,2600,2800,2900,2900,2900,2900,53,0,370.0,760.1775397358135,213.31327500047337,2890.476268999919,82243.71698113208
1766090810,50,,Aggregated,10.000000,0.000000,490,610,700,920,1800,1900,2800,2900,2900,2900,2900,76,0,480.0,731.6361931051879,213.31327500047337,2890.476268999919,82997.86842105263
1766090811,60,,Aggregated,11.750000,0.000000,550,640,720,900,1800,1900,2800,2900,2900,2900,2900,90,0,550.0,720.5914467777095,213.31327500047337,2890.476268999919,83208.3
1766090812,70,,Aggregated,13.600000,0.000000,610,760,880,930,1600,1900,2600,2800,2900,2900,2900,106,0,600.0,752.9472515471189,213.31327500047337,2890.476268999919,83509.00943396226
1766090813,80,,Aggregated,14.666667,0.000000,700,970,1200,1500,1600,1800,2600,2800,2900,2900,2900,129,0,700.0,865.0820033720785,213.31327500047337,2890.476268999919,83727.58914728682
1766090814,90,,Aggregated,14.714286,0.000000,860,1300,1500,1600,1800,1900,2500,2800,2900,2900,2900,151,0,860.0,991.291853317898,213.31327500047337,2890.476268999919,83736.80794701987
1766090815,100,,Aggregated,16.000000,0.000000,920,1500,1600,1600,1800,1900,2500,2800,2900,2900,2900,167,0,920.0,1050.414037341333,213.31327500047337,2890.476268999919,83762.95808383233
1766090816,100,,Aggregated,16.444444,0.000000,1200,1600,1700,1800,1900,2000,3200,3400,3400,3400,3400,188,0,1200.0,1172.0604523617035,213.31327500047337,3428.994965000129,83803.14361702128
1766090817,100,,Aggregated,16.400000,0.000000,1400,1600,1800,1900,2200,3300,4200,4400,4600,4600,4600,206,0,1300.0,1338.0453201504856,213.31327500047337,4617.489002999719,83705.26213592233
1766090818,100,,Aggregated,17.600000,0.000000,1500,1800,1900,2200,2600,4300,4900,5000,5000,5000,5000,230,0,1500.0,1534.6760588347745,213.31327500047337,5008.503174999532,83778.38695652173
1766090819,100,,Aggregated,18.900000,0.000000,1600,1900,2200,2500,3900,4300,4900,5000,5000,5000,5000,252,0,1600.0,1704.8414472301527,213.31327500047337,5008.503174999532,83892.98412698413
1766090820,100,,Aggregated,19.200000,0.000000,1600,2000,2500,2800,3600,4300,4900,5000,5000,5000,5000,269,0,1600.0,1785.2837501598465,213.31327500047337,5008.503174999532,83767.35687732341
