Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1766090214,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766090215,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766090216,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766090217,60,,Aggregated,0.000000,0.000000,2700,2700,2800,2800,2800,2900,2900,2900,2900,2900,2900,19,0,2700.0,2677.203969421163,2453.154650000215,2863.2181530001617,84887.05263157895
1766090218,80,,Aggregated,0.000000,0.000000,2700,2700,2800,2800,2900,3000,3000,3000,3000,3000,3000,20,0,2700.0,2695.5792268500772,2453.154650000215,3044.709117999446,84485.4
1766090219,100,,Aggregated,5.000000,0.000000,2800,3000,3800,3900,3900,3900,4000,4000,4000,4000,4000,29,0,2800.0,3067.044482379312,2453.154650000215,3988.0935419996604,84413.10344827586
1766090220,120,,Aggregated,5.000000,0.000000,3800,3900,4000,4100,4100,4200,4300,4300,4300,4300,4300,40,0,3000.0,3354.69779795003,2453.154650000215,4264.198707000105,84480.8
1766090221,140,,Aggregated,4.000000,0.000000,3900,4100,4200,4300,4900,4900,4900,4900,4900,4900,4900,53,0,3900.0,3673.944767075467,2453.154650000215,4917.760039999848,84765.98113207547
1766090222,160,,Aggregated,4.000000,0.000000,4100,4300,4500,4800,5100,5100,5100,5300,5300,5300,5300,66,0,4100.0,3896.993093636314,2453.154650000215,5289.055483999618,84653.16666666667
1766090223,180,,Aggregated,6.571429,0.000000,4100,4400,4800,4900,5100,5500,6000,6000,6000,6000,6000,70,0,4100.0,4003.119030599958,2453.154650000215,6005.955427999652,84480.1
1766090224,200,,Aggregated,8.250000,0.000000,4400,5100,5500,5900,6100,6600,6700,6700,6700,6700,6700,90,0,4400.0,4475.3737036888815,2453.154650000215,6746.471094000299,84587.12222222223
1766090225,200,,Aggregated,7.555556,0.000000,4400,5100,5700,5900,6200,6700,7000,7000,7000,7000,7000,93,0,4400.0,4555.713487236562,2453.154650000215,6983.198023999648,84645.44086021505
1766090226,200,,Aggregated,8.600000,0.000000,4900,5900,6500,6700,7300,7600,7600,7600,7700,7700,7700,112,0,4900.0,5032.854005276786,2453.154650000215,7691.018718000123,84343.84821428571
1766090227,200,,Aggregated,9.000000,0.000000,5100,6000,6700,7000,7400,7600,7700,7900,7900,7900,7900,118,0,4900.0,5156.996676923742,2453.154650000215,7928.85863400079,84365.45762711864
1766090228,200,,Aggregated,11.000000,0.000000,5100,6500,7100,7300,7700,8600,8900,8900,9000,9000,9000,128,0,5100.0,5434.490129117193,2453.154650000215,8974.033747999783,84300.4140625
1766090229,200,,Aggregated,11.000000,0.000000,5700,7000,7300,7600,8800,9200,9300,9300,9500,9500,9500,139,0,5700.0,5731.951592187057,2453.154650000215,9453.53165600045,84328.78417266186
1766090230,200,,Aggregated,10.300000,0.000000,5900,7200,7600,8600,9300,9700,9800,9900,10000,10000,10000,152,0,5900.0,6072.281367592104,2453.154650000215,10041.855679000037,84191.63815789473
1766090231,200,,Aggregated,11.900000,0.000000,6100,7500,8800,9100,9800,10000,11000,11000,11000,11000,11000,163,0,6100.0,6367.2105376196305,2453.154650000215,10703.171606000069,84164.73006134969
1766090232,200,,Aggregated,10.800000,0.000000,6500,7600,8900,9300,10000,11000,11000,11000,11000,11000,11000,169,0,6500.0,6530.043514781057,2453.154650000215,11123.811462000049,84187.36686390532
1766090233,200,,Aggregated,11.500000,0.000000,7000,8500,9300,9700,11000,11000,12000,12000,12000,12000,12000,182,0,7000.0,6897.079993532963,2453.154650000215,12012.77608700002,84292.53846153847
1766090234,200,,Aggregated,10.100000,0.000000,7100,8900,9700,10000,11000,12000,13000,13000,13000,13000,13000,192,0,7100.0,7186.4417432604205,2453.154650000215,12832.598914999835,84252.96354166667
1766090235,200,,Aggregated,10.800000,0.000000,7300,9300,10000,11000,12000,13000,13000,13000,13000,13000,13000,207,0,7300.0,7598.133884956519,2453.154650000215,13316.85823099997,84223.74396135265
1766090236,200,,Aggregated,10.300000,0.000000,7500,9600,11000,11000,13000,13000,13000,14000,14000,14000,14000,217,0,7500.0,7868.952755953918,2453.154650000215,13971.715194000353,84279.69585253457
1766090237,200,,Aggregated,11.400000,0.000000,7600,9800,11000,12000,13000,13000,14000,15000,15000,15000,15000,222,0,7600.0,8021.495432274774,2453.154650000215,14972.848941999473,84327.27027027027
1766090238,200,,Aggregated,10.500000,0.000000,8400,10000,12000,13000,14000,15000,15000,15000,15000,15000,15000,237,0,8400.0,8455.57885548101,2453.154650000215,15234.450492999713,84377.45147679326
1766090239,200,,Aggregated,10.300000,0.000000,8800,11000,12000,13000,15000,15000,16000,16000,16000,16000,16000,247,0,8800.0,8741.72115287044,2453.154650000215,16020.035002999975,84419.63157894737
1766090240,200,,Aggregated,11.200000,0.000000,9200,12000,13000,13000,15000,16000,16000,16000,17000,17000,17000,264,0,9100.0,9216.70149921591,2453.154650000215,16500.635641000372,84366.07575757576
1766090241,200,,Aggregated,11.200000,0.000000,9300,12000,13000,14000,16000,16000,16000,16000,17000,17000,17000,269,0,9300.0,9344.893617717475,2453.154650000215,16500.635641000372,84332.85130111524
1766090242,200,,Aggregated,11.100000,0.000000,9500,12000,13000,15000,16000,16000,17000,17000,17000,17000,17000,280,0,9500.0,9630.794249650004,2453.154650000215,17062.87978199998,84310.81428571428
1766090243,200,,Aggregated,11.100000,0.000000,9800,13000,15000,15000,16000,16000,17000,17000,17000,17000,17000,292,0,9700.0,9904.610076818492,2453.154650000215,17062.87978199998,84298.44178082192
1766090244,200,,Aggregated,10.700000,0.000000,10000,13000,15000,16000,16000,17000,17000,17000,17000,17000,17000,306,0,10000.0,10197.298971640526,2453.154650000215,17062.87978199998,84237.7091503268
1766090245,200,,Aggregated,11.600000,0.000000,11000,13000,15000,16000,16000,17000,17000,17000,17000,17000,17000,319,0,11000.0,10440.614856269589,2453.154650000215,17062.87978199998,84176.07836990595
1766090246,200,,Aggregated,11.300000,0.000000,11000,13000,15000,16000,16000,17000,17000,17000,17000,17000,17000,320,0,11000.0,10460.955664124998,2453.154650000215,17062.87978199998,84183.0125
1766090247,200,,Aggregated,11.200000,0.000000,11000,15000,16000,16000,16000,17000,17000,17000,17000,17000,17000,340,0,11000.0,10809.171525914695,2453.154650000215,17084.327544999724,84257.0
1766090248,200,,Aggregated,10.400000,0.000000,11000,15000,16000,16000,16000,17000,17000,17000,17000,17000,17000,344,0,11000.0,10873.466983569757,2453.154650000215,17084.327544999724,84226.38953488372
1766090249,200,,Aggregated,11.500000,0.000000,12000,15000,16000,16000,16000,17000,17000,17000,17000,17000,17000,364,0,12000.0,11157.886284725264,2453.154650000215,17084.327544999724,84266.35164835164
1766090250,200,,Aggregated,11.500000,0.000000,12000,15000,16000,16000,16000,17000,17000,17000,17000,17000,17000,369,0,12000.0,11217.230367205953,2453.154650000215,17084.327544999724,84295.19512195123
1766090251,200,,Aggregated,11.600000,0.000000,13000,16000,16000,16000,16000,17000,17000,17000,17000,17000,17000,383,0,13000.0,11404.15425074151,2453.154650000215,17084.327544999724,84272.26631853786
1766090252,200,,Aggregated,11.000000,0.000000,13000,16000,16000,16000,16000,17000,17000,17000,17000,17000,17000,393,0,13000.0,11523.375142625955,2453.154650000215,17084.327544999724,84301.44783715013
1766090253,200,,Aggregated,10.300000,0.000000,13000,16000,16000,16000,16000,17000,17000,17000,17000,17000,17000,404,0,13000.0,11648.944151774755,2453.154650000215,17084.327544999724,84287.06683168317
1766090254,200,,Aggregated,11.600000,0.000000,13000,16000,16000,16000,16000,17000,17000,17000,17000,17000,17000,418,0,13000.0,11786.083332153115,2453.154650000215,17084.327544999724,84243.54066985646
1766090255,200,,Aggregated,10.800000,0.000000,13000,16000,16000,16000,16000,17000,17000,17000,17000,17000,17000,420,0,13000.0,11806.541032876195,2453.154650000215,17084.327544999724,84253.78571428571
