Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1766091929,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766091930,20,,Aggregated,0.000000,0.000000,750,780,790,800,970,970,970,970,970,970,970,18,4,440.0,594.4698745555191,279.6494559997882,972.249331999592,66194.66666666667
1766091931,40,,Aggregated,0.000000,0.000000,590,760,790,850,970,1100,1100,1100,1100,1100,1100,37,6,590.0,622.6942000269668,231.4828189992113,1104.4220280000445,71259.64864864865
1766091932,60,,Aggregated,7.000000,3.000000,560,660,780,850,970,1100,1200,1200,1200,1200,1200,65,8,560.0,619.1830195538597,231.4828189992113,1157.928699999502,73588.18461538461
1766091933,80,,Aggregated,11.000000,2.500000,590,730,780,800,980,1200,1700,1700,1700,1700,1700,86,8,590.0,647.2269295232488,231.4828189992113,1704.6744749995923,75938.83720930232
1766091934,100,,Aggregated,15.333333,2.333333,620,780,960,1000,1400,1800,1900,2000,2000,2000,2000,116,16,620.0,757.820732258622,213.94412600056967,2043.5511579999002,72033.0775862069
1766091935,120,,Aggregated,17.250000,2.000000,690,860,1100,1200,1800,2000,2600,2600,2800,2800,2800,134,21,690.0,873.5326390895679,213.94412600056967,2846.979576999729,70675.17910447762
1766091936,140,,Aggregated,18.600000,1.800000,780,1100,1200,1700,2200,2700,3000,3000,3100,3100,3100,162,30,770.0,1033.5023009629706,34.017552000477735,3119.4644359993617,68437.79012345678
1766091937,160,,Aggregated,20.000000,3.166667,810,1100,1700,2000,2900,3000,3300,3600,3700,3700,3700,188,38,810.0,1185.2961363351196,34.017552000477735,3703.8767399999415,67033.78723404255
1766091938,180,,Aggregated,21.428571,3.714286,810,1200,1900,2200,3000,3100,3500,3600,4300,4300,4300,217,53,810.0,1248.5570091843335,34.017552000477735,4325.119651999557,63529.1935483871
1766091939,200,,Aggregated,20.750000,3.875000,970,1700,2400,2800,3200,4100,4800,4900,5000,5000,5000,256,73,960.0,1466.6964504062398,34.017552000477735,4990.449566999814,60260.03125
1766091940,200,,Aggregated,22.444444,4.777778,1100,2000,2900,3000,3700,4600,4900,5000,5300,5300,5300,303,95,1100.0,1678.0100034719446,34.017552000477735,5295.844141999623,57985.05610561056
1766091941,200,,Aggregated,23.000000,6.000000,1100,2100,2900,3100,4300,4800,5200,5800,6100,6100,6100,340,117,1100.0,1743.1061875617538,34.017552000477735,6122.900006000236,55519.91764705882
1766091942,200,,Aggregated,27.200000,8.600000,1100,2600,3000,3200,4500,5000,5400,6100,6900,6900,6900,379,137,1100.0,1878.340644588385,34.017552000477735,6923.461219999808,54088.583113456465
1766091943,200,,Aggregated,29.600000,9.700000,1200,2600,3000,3300,4600,5100,5900,6800,7200,7200,7200,415,160,1200.0,1918.2612560722841,34.017552000477735,7244.382019000113,52055.86265060241
1766091944,200,,Aggregated,30.500000,11.700000,1200,2700,3000,3300,4800,5300,6200,7100,8200,8200,8200,458,186,1200.0,1976.6427311921325,34.017552000477735,8207.908981999935,50371.74672489083
1766091945,200,,Aggregated,32.500000,13.700000,1200,2700,3000,3300,4800,5400,6800,7400,9200,9200,9200,488,204,1200.0,2001.2324079774532,23.51949700005207,9187.134646999766,49383.92418032787
1766091946,200,,Aggregated,33.500000,16.200000,1200,2700,3000,3400,4900,5700,7200,8800,9600,9600,9600,523,223,1200.0,2031.310119671127,23.51949700005207,9646.242820000225,48652.63479923518
1766091947,200,,Aggregated,34.600000,17.200000,1200,2700,3000,3500,5000,6100,8400,9000,10000,10000,10000,570,247,1200.0,2101.889059654384,23.51949700005207,10213.88105099959,48101.19122807017
1766091948,200,,Aggregated,35.100000,18.500000,1200,2700,3000,3500,5000,6200,8500,9100,11000,11000,11000,604,267,1200.0,2114.666890976819,21.620051999889256,10753.626533999523,47403.134105960264
1766091949,200,,Aggregated,37.000000,20.200000,1200,2700,3000,3500,5100,6300,8800,9600,11000,11000,11000,629,280,1200.0,2139.6055654674046,21.620051999889256,10754.446382999959,47189.43402225755
1766091950,200,,Aggregated,38.800000,21.600000,1200,2700,3000,3500,5100,6500,9000,10000,13000,13000,13000,659,294,1200.0,2154.3178703793537,21.620051999889256,12867.047283999455,47108.81942336874
1766091951,200,,Aggregated,38.200000,21.300000,1200,2600,3000,3300,5100,6700,9300,11000,13000,13000,13000,689,312,1200.0,2171.0020455297454,21.620051999889256,12867.047283999455,46574.99854862119
1766091952,200,,Aggregated,35.900000,19.700000,1200,2600,3000,3300,5100,6900,10000,11000,14000,14000,14000,721,326,1200.0,2187.7748308349405,21.620051999889256,13572.560007999527,46653.64771151179
1766091953,200,,Aggregated,35.400000,19.900000,1200,2600,3000,3300,5200,7100,11000,12000,15000,15000,15000,744,341,1200.0,2213.0696797136993,19.094981000307598,14915.831640999386,46135.87634408602
