Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1766089165,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766089166,25,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766089167,50,,Aggregated,0.000000,0.000000,1500,1600,1600,1600,1700,1700,1700,1700,1700,1700,1700,25,0,1500.0,1537.276752200014,1302.7626209996015,1749.7387169996728,84104.56
1766089168,75,,Aggregated,0.000000,0.000000,1600,1700,1700,1800,1800,1800,1900,1900,1900,1900,1900,35,0,1600.0,1603.3592978285535,1302.7626209996015,1939.223499000036,84207.6
1766089169,100,,Aggregated,3.000000,0.000000,1700,1800,2100,2200,2300,2500,2500,2500,2500,2500,2500,51,0,1700.0,1812.9839227842915,1302.7626209996015,2494.6868320002977,84332.56862745098
1766089170,125,,Aggregated,8.333333,0.000000,1800,2100,2200,2300,2500,2700,2900,3000,3000,3000,3000,65,0,1800.0,1934.1266548615042,1302.7626209996015,2953.6476579996815,84042.63076923077
1766089171,150,,Aggregated,11.750000,0.000000,2200,2500,2700,2800,3000,3100,3300,3400,3400,3400,3400,89,0,2200.0,2205.8950133033254,1302.7626209996015,3353.565006000281,83924.2808988764
1766089172,175,,Aggregated,12.200000,0.000000,2300,2800,3000,3100,3500,3800,3900,3900,4000,4000,4000,103,0,2300.0,2401.966693728115,1302.7626209996015,3980.324137000025,83611.41747572816
1766089173,200,,Aggregated,12.500000,0.000000,2500,3000,3300,3700,3800,3900,4000,4200,4900,4900,4900,121,0,2500.0,2622.160239421435,1302.7626209996015,4922.0168660003765,83710.09917355372
1766089174,225,,Aggregated,13.142857,0.000000,2800,3400,3700,3800,3900,4100,5700,5700,5900,5900,5900,142,0,2800.0,2845.7751714436067,1302.7626209996015,5859.917255000255,83636.81690140846
1766089175,250,,Aggregated,13.500000,0.000000,3000,3600,3800,3800,4000,4200,5500,5700,5900,5900,5900,154,0,2900.0,2932.1173133311186,1302.7626209996015,5859.917255000255,83603.92207792208
1766089176,250,,Aggregated,14.666667,0.000000,3200,3800,3900,4000,4300,5900,6800,7000,7000,7000,7000,175,0,3200.0,3199.705638062801,1302.7626209996015,6963.224842999807,83773.98285714285
1766089177,250,,Aggregated,14.400000,0.000000,3500,3900,4000,4100,5400,6800,7600,7800,7900,7900,7900,192,0,3500.0,3414.7463864895467,1302.7626209996015,7859.219990000383,83906.58854166667
1766089178,250,,Aggregated,16.200000,0.000000,3600,3900,4100,4300,6700,7800,8300,8400,8500,8500,8500,206,0,3600.0,3670.1084720921885,1302.7626209996015,8546.732646999772,83935.7718446602
1766089179,250,,Aggregated,18.100000,0.000000,3800,4100,5000,5300,7700,8600,8800,8900,9000,9000,9000,231,0,3800.0,4024.47945220343,1302.7626209996015,9010.145380000722,83871.35064935064
1766089180,250,,Aggregated,17.300000,0.000000,3800,4200,5200,6600,8600,9100,9400,9500,9700,9700,9700,245,0,3800.0,4328.791562999967,1302.7626209996015,9739.92156299937,83781.84897959184
1766089181,250,,Aggregated,17.200000,0.000000,3900,5100,6700,7000,8800,9300,9500,9600,9700,9700,9700,264,0,3900.0,4574.874415678004,1302.7626209996015,9739.92156299937,83825.29924242424
1766089182,250,,Aggregated,17.900000,0.000000,4000,5400,7000,7600,9200,9700,11000,11000,11000,11000,11000,286,0,4000.0,4926.274707776202,1302.7626209996015,10809.044450999863,83822.75524475524
1766089183,250,,Aggregated,17.500000,0.000000,4100,6700,7300,8400,9500,11000,11000,11000,11000,11000,11000,299,0,4100.0,5164.612472565193,1302.7626209996015,10925.282877999962,83806.90301003345
1766089184,250,,Aggregated,18.300000,0.000000,4200,7000,8400,8900,10000,11000,12000,12000,12000,12000,12000,320,0,4200.0,5537.647055374972,1302.7626209996015,11871.629788999599,83797.759375
1766089185,250,,Aggregated,18.300000,0.000000,4600,7300,8800,9500,11000,12000,12000,12000,12000,12000,12000,339,0,4600.0,5865.325149451296,1302.7626209996015,11967.429600000287,83830.71091445428
1766089186,250,,Aggregated,17.300000,0.000000,5100,8000,9200,9700,11000,12000,12000,12000,12000,12000,12000,353,0,5100.0,6053.381425342751,1302.7626209996015,12303.22335100027,83877.81586402266
1766089187,250,,Aggregated,18.600000,0.000000,5500,8700,9700,10000,12000,12000,13000,13000,13000,13000,13000,378,0,5400.0,6433.3895472274935,1302.7626209996015,13289.26918200068,83816.63227513227
1766089188,250,,Aggregated,18.300000,0.000000,6600,9000,9900,11000,12000,13000,13000,13000,13000,13000,13000,393,0,6600.0,6671.545246379113,1302.7626209996015,13307.74843800009,83817.89567430025
1766089189,250,,Aggregated,17.600000,0.000000,6900,9400,10000,11000,12000,13000,13000,13000,14000,14000,14000,407,0,6900.0,6855.416554773935,1302.7626209996015,13559.023922999586,83836.14250614251
1766089190,250,,Aggregated,18.800000,0.000000,7000,9700,11000,11000,12000,13000,13000,14000,14000,14000,14000,433,0,7000.0,7174.089076360257,1302.7626209996015,13937.750056000368,83900.68129330254
1766089191,250,,Aggregated,18.000000,0.000000,7300,9900,11000,12000,12000,13000,13000,14000,14000,14000,14000,446,0,7300.0,7310.012671571726,1302.7626209996015,13937.750056000368,83844.96412556054
1766089192,250,,Aggregated,17.900000,0.000000,7900,10000,11000,12000,12000,13000,13000,14000,14000,14000,14000,463,0,7900.0,7478.697054388742,1302.7626209996015,13937.750056000368,83814.88768898488
1766089193,250,,Aggregated,18.800000,0.000000,8500,11000,12000,12000,12000,13000,13000,14000,14000,14000,14000,487,0,8500.0,7683.275097244328,1302.7626209996015,13937.750056000368,83902.43942505133
1766089194,250,,Aggregated,17.800000,0.000000,8700,11000,12000,12000,12000,13000,13000,14000,14000,14000,14000,499,0,8700.0,7777.327749254486,1302.7626209996015,13937.750056000368,83962.35470941884
